DR: 0.078289(50), 0.072495(all), eps: 0.950000
DR: 0.060832(50), 0.068633(all), eps: 0.925000
DR: 0.045962(50), 0.062993(all), eps: 0.900000
DR: 0.063152(50), 0.063025(all), eps: 0.875000
DR: 0.079293(50), 0.065727(all), eps: 0.850000
DR: 0.079779(50), 0.066994(all), eps: 0.822500
DR: 0.090177(50), 0.069849(all), eps: 0.797500
DR: 0.094762(50), 0.071948(all), eps: 0.770000
DR: 0.078107(50), 0.072551(all), eps: 0.745000
DR: 0.097880(50), 0.074258(all), eps: 0.717500
DR: 0.081763(50), 0.074867(all), eps: 0.692500
DR: 0.096747(50), 0.076138(all), eps: 0.665000
DR: 0.095442(50), 0.077477(all), eps: 0.640000
DR: 0.095088(50), 0.078279(all), eps: 0.612500
DR: 0.124561(50), 0.081081(all), eps: 0.587500
DR: 0.123823(50), 0.083122(all), eps: 0.560115
DR: 0.126604(50), 0.085457(all), eps: 0.535115
DR: 0.092677(50), 0.085521(all), eps: 0.507615
DR: 0.120119(50), 0.087191(all), eps: 0.482615
DR: 0.151396(50), 0.089795(all), eps: 0.455115
DR: 0.158876(50), 0.092822(all), eps: 0.430120
DR: 0.157748(50), 0.095306(all), eps: 0.402620
DR: 0.104395(50), 0.095671(all), eps: 0.377620
DR: 0.192901(50), 0.099095(all), eps: 0.350430
DR: 0.155600(50), 0.101186(all), eps: 0.325505
DR: 0.172136(50), 0.104155(all), eps: 0.298400
DR: 0.151512(50), 0.105782(all), eps: 0.273445
DR: 0.087147(50), 0.104866(all), eps: 0.245945
DR: 0.199500(50), 0.107897(all), eps: 0.221275
DR: 0.203712(50), 0.113003(all), eps: 0.200000
DR: 0.207906(50), 0.115851(all), eps: 0.200000
DR: 0.117760(50), 0.115615(all), eps: 0.200000
DR: 0.070135(50), 0.114331(all), eps: 0.200000
DR: 0.171475(50), 0.115978(all), eps: 0.200000
DR: 0.112320(50), 0.115881(all), eps: 0.200000
DR: 0.105779(50), 0.115837(all), eps: 0.200000
DR: 0.269392(50), 0.119713(all), eps: 0.200000
DR: 0.139482(50), 0.119942(all), eps: 0.200000
DR: 0.167762(50), 0.121088(all), eps: 0.200000
DR: 0.177288(50), 0.122621(all), eps: 0.200000
DR: 0.169124(50), 0.123682(all), eps: 0.200000
DR: 0.149843(50), 0.124150(all), eps: 0.200000
DR: 0.092322(50), 0.123457(all), eps: 0.200000
DR: 0.162601(50), 0.124564(all), eps: 0.200000
DR: 0.147802(50), 0.125047(all), eps: 0.200000
DR: 0.092181(50), 0.124146(all), eps: 0.200000
DR: 0.097002(50), 0.123605(all), eps: 0.200000
DR: 0.131540(50), 0.123614(all), eps: 0.200000
DR: 0.083773(50), 0.122851(all), eps: 0.200000
DR: 0.114725(50), 0.122863(all), eps: 0.200000
DR: 0.106228(50), 0.122557(all), eps: 0.200000
DR: 0.119594(50), 0.122332(all), eps: 0.200000
DR: 0.089055(50), 0.121742(all), eps: 0.200000
DR: 0.092056(50), 0.121321(all), eps: 0.200000
DR: 0.135158(50), 0.121558(all), eps: 0.200000
DR: 0.076378(50), 0.120809(all), eps: 0.200000
DR: 0.136138(50), 0.121062(all), eps: 0.200000
DR: 0.085483(50), 0.120749(all), eps: 0.200000
DR: 0.149325(50), 0.121205(all), eps: 0.200000
DR: 0.184776(50), 0.122053(all), eps: 0.200000
DR: 0.095525(50), 0.121644(all), eps: 0.200000
DR: 0.172430(50), 0.122499(all), eps: 0.200000
DR: 0.140337(50), 0.122766(all), eps: 0.200000
DR: 0.158967(50), 0.123633(all), eps: 0.200000
DR: 0.065928(50), 0.122797(all), eps: 0.200000
DR: 0.173472(50), 0.123513(all), eps: 0.200000
DR: 0.217582(50), 0.124835(all), eps: 0.200000
DR: 0.063789(50), 0.123817(all), eps: 0.200000
DR: 0.200728(50), 0.124868(all), eps: 0.200000
DR: 0.185311(50), 0.125579(all), eps: 0.200000
DR: 0.145908(50), 0.125849(all), eps: 0.200000
DR: 0.106684(50), 0.125433(all), eps: 0.200000
DR: 0.150217(50), 0.125753(all), eps: 0.200000
DR: 0.174597(50), 0.127140(all), eps: 0.200000
DR: 0.182247(50), 0.127833(all), eps: 0.200000
DR: 0.143546(50), 0.128136(all), eps: 0.200000
DR: 0.201787(50), 0.129039(all), eps: 0.200000
DR: 0.095587(50), 0.129351(all), eps: 0.200000
DR: 0.229796(50), 0.130551(all), eps: 0.200000
DR: 0.075360(50), 0.130457(all), eps: 0.200000
DR: 0.178614(50), 0.131018(all), eps: 0.200000
DR: 0.154131(50), 0.131411(all), eps: 0.200000
DR: 0.181264(50), 0.131978(all), eps: 0.200000
DR: 0.197274(50), 0.133430(all), eps: 0.200000
DR: 0.185383(50), 0.134007(all), eps: 0.200000
DR: 0.243424(50), 0.135061(all), eps: 0.200000
DR: 0.165705(50), 0.135393(all), eps: 0.200000
DR: 0.141046(50), 0.135332(all), eps: 0.200000
DR: 0.264720(50), 0.136706(all), eps: 0.200000
DR: 0.199767(50), 0.137504(all), eps: 0.200000
DR: 0.226960(50), 0.138432(all), eps: 0.200000
DR: 0.158832(50), 0.138531(all), eps: 0.200000
DR: 0.064618(50), 0.137780(all), eps: 0.200000
DR: 0.184043(50), 0.138107(all), eps: 0.200000
DR: 0.193214(50), 0.138655(all), eps: 0.200000
DR: 0.118040(50), 0.138589(all), eps: 0.200000
DR: 0.202059(50), 0.139207(all), eps: 0.200000
DR: 0.186316(50), 0.139892(all), eps: 0.200000
DR: 0.168307(50), 0.140164(all), eps: 0.200000
DR: 0.287380(50), 0.141815(all), eps: 0.200000
DR: 0.215102(50), 0.142501(all), eps: 0.200000
DR: 0.337507(50), 0.144557(all), eps: 0.200000
DR: 0.418896(50), 0.147076(all), eps: 0.200000
DR: 0.483894(50), 0.150466(all), eps: 0.200000
DR: 0.391090(50), 0.152633(all), eps: 0.200000
DR: 0.495118(50), 0.155730(all), eps: 0.200000
DR: 0.568139(50), 0.159376(all), eps: 0.200000
DR: 0.490968(50), 0.162751(all), eps: 0.200000
DR: 0.508733(50), 0.165753(all), eps: 0.200000
DR: 0.575974(50), 0.169997(all), eps: 0.200000
DR: 0.607896(50), 0.173730(all), eps: 0.200000
DR: 0.556549(50), 0.177478(all), eps: 0.200000
DR: 0.644436(50), 0.181389(all), eps: 0.200000
DR: 0.505518(50), 0.184575(all), eps: 0.200000
DR: 0.546243(50), 0.187551(all), eps: 0.200000
DR: 0.520812(50), 0.190687(all), eps: 0.200000
DR: 0.560601(50), 0.193679(all), eps: 0.200000
DR: 0.593469(50), 0.197370(all), eps: 0.200000
DR: 0.597431(50), 0.200552(all), eps: 0.200000
DR: 0.609028(50), 0.204403(all), eps: 0.200000
DR: 0.457532(50), 0.206384(all), eps: 0.200000
DR: 0.542063(50), 0.209473(all), eps: 0.200000
DR: 0.499866(50), 0.211708(all), eps: 0.200000
DR: 0.585629(50), 0.214684(all), eps: 0.200000
DR: 0.551173(50), 0.217232(all), eps: 0.200000
DR: 0.570564(50), 0.220371(all), eps: 0.200000
DR: 0.474938(50), 0.222270(all), eps: 0.200000
DR: 0.385753(50), 0.223686(all), eps: 0.200000
DR: 0.466262(50), 0.225467(all), eps: 0.200000
DR: 0.687524(50), 0.228737(all), eps: 0.200000
DR: 0.512662(50), 0.230789(all), eps: 0.200000
DR: 0.588796(50), 0.233638(all), eps: 0.200000
DR: 0.407526(50), 0.234876(all), eps: 0.200000
DR: 0.560191(50), 0.237307(all), eps: 0.200000
DR: 0.489311(50), 0.239076(all), eps: 0.200000
DR: 0.608547(50), 0.242039(all), eps: 0.200000
DR: 0.621761(50), 0.244664(all), eps: 0.200000
DR: 0.515622(50), 0.246748(all), eps: 0.200000
DR: 0.532479(50), 0.248695(all), eps: 0.200000
DR: 0.471507(50), 0.250643(all), eps: 0.200000
DR: 0.584268(50), 0.252885(all), eps: 0.200000
DR: 0.556511(50), 0.255017(all), eps: 0.200000
