DR: 0.068851(50), 0.060634(all), eps: 0.950000
DR: 0.063805(50), 0.061684(all), eps: 0.925000
DR: 0.062240(50), 0.061822(all), eps: 0.900000
DR: 0.055732(50), 0.060609(all), eps: 0.875000
DR: 0.092160(50), 0.065850(all), eps: 0.850000
DR: 0.105943(50), 0.070899(all), eps: 0.822500
DR: 0.078717(50), 0.071862(all), eps: 0.797500
DR: 0.061977(50), 0.070011(all), eps: 0.770000
DR: 0.089145(50), 0.071883(all), eps: 0.745000
DR: 0.147998(50), 0.080031(all), eps: 0.717500
DR: 0.098151(50), 0.081502(all), eps: 0.692500
DR: 0.167642(50), 0.090483(all), eps: 0.665635
DR: 0.122270(50), 0.092687(all), eps: 0.640635
DR: 0.178975(50), 0.099038(all), eps: 0.613925
DR: 0.158146(50), 0.102616(all), eps: 0.588925
DR: 0.172464(50), 0.109210(all), eps: 0.561425
DR: 0.223701(50), 0.115359(all), eps: 0.536425
DR: 0.111558(50), 0.118864(all), eps: 0.509060
DR: 0.164289(50), 0.121056(all), eps: 0.484060
DR: 0.295545(50), 0.131143(all), eps: 0.457045
DR: 0.264439(50), 0.136985(all), eps: 0.432045
DR: 0.217280(50), 0.141210(all), eps: 0.404545
DR: 0.293650(50), 0.147327(all), eps: 0.379545
DR: 0.304340(50), 0.155847(all), eps: 0.352375
DR: 0.292509(50), 0.160904(all), eps: 0.327495
DR: 0.262258(50), 0.164771(all), eps: 0.300335
DR: 0.302649(50), 0.169506(all), eps: 0.275335
DR: 0.303293(50), 0.175153(all), eps: 0.247880
DR: 0.402187(50), 0.182425(all), eps: 0.223555
DR: 0.367483(50), 0.188667(all), eps: 0.200000
DR: 0.546068(50), 0.199393(all), eps: 0.200000
DR: 0.357262(50), 0.203862(all), eps: 0.200000
DR: 0.399209(50), 0.209377(all), eps: 0.200000
DR: 0.594434(50), 0.221073(all), eps: 0.200000
DR: 0.406511(50), 0.226015(all), eps: 0.200000
DR: 0.447601(50), 0.232308(all), eps: 0.200000
DR: 0.461494(50), 0.238092(all), eps: 0.200000
DR: 0.428894(50), 0.242768(all), eps: 0.200000
DR: 0.474825(50), 0.248330(all), eps: 0.200000
DR: 0.529739(50), 0.256547(all), eps: 0.200000
DR: 0.439884(50), 0.260731(all), eps: 0.200000
DR: 0.524827(50), 0.268256(all), eps: 0.200000
DR: 0.445360(50), 0.272113(all), eps: 0.200000
DR: 0.547384(50), 0.278795(all), eps: 0.200000
DR: 0.442511(50), 0.282204(all), eps: 0.200000
DR: 0.414680(50), 0.286363(all), eps: 0.200000
DR: 0.675808(50), 0.294133(all), eps: 0.200000
